Country,IR_S,α,s,xstar,NRMSE,cor_ρ,cor_ρθ_before_1990,cor_ρθ_after_1990,Implied_qstar,θ
Canada,Baseline,0.999998999950014,1.5472867974197724,8.306895868772846,0.07849614636182839,0.8469616775596884,0.9174296498141041,-0.8736524283373862,1.5472874728495978,0.48694965400476364
Canada,EI-DLM,0.9999989999474188,1.5510721141439772,8.175145801375482,0.08366871173875182,0.8238292589361755,0.8913965776465105,-0.5996937288919292,1.5510727950180938,0.4864576415272813
Canada,EI-TS,0.4316036074061282,1.1969358260886083,6.78422024604902,0.07512502624416223,0.8698103451188203,0.9557216943066045,-0.9575354592772127,1.5166507143064634,0.47005136115815527
US,Baseline,0.2518030075709216,1.0100000003695895,4.1919530375077,0.08192011769247616,0.7947756760701695,0.9112661384952526,-0.9339726836853595,1.0403074889379302,0.5642306238638334
US,EI-DLM,0.24862871316993718,1.0100000005494887,4.082605303781487,0.10370455358232526,0.6317075188613468,0.7465694714011543,-0.7587259518318058,1.0408324709768424,0.5539011026529455
US,EI-TS,0.317960178928961,1.0100000006794088,3.8686151559725976,0.07442427867681528,0.8388421469017391,0.8856280045756456,-0.9345487528483691,1.0317890832624959,0.560273322091293
Australia,Baseline,0.7102589829024845,1.0100000001702514,8.23755264039188,0.045052602146665004,0.7285305649872769,0.8672779046611968,-0.6430327997585062,1.0141080326675238,0.5250058185899974
Australia,EI-DLM,0.9220390696234729,1.0694737850931515,8.254360974176365,0.07297881064913608,0.7565909114948767,0.729678308472878,-0.12052247367441328,1.0755647469617444,0.5141839977762525
Australia,EI-TS,0.7508037783510046,1.0100000000914628,7.821887175738606,0.06117740906396397,0.6701444285176351,0.9214452955154142,-0.8639328913500132,1.0133411137139743,0.5226970277570269
UK,Baseline,0.9999989975109047,1.9384539092541144,8.86018634469469,0.14356726484834262,0.9016728506515213,0.9911551641542579,-0.01954955051613446,1.9384551954940685,0.5984924029418746
UK,EI-DLM,0.9999989997567321,1.9119894563824562,8.594781979174568,0.1671946493511977,0.818342011910659,0.9629568939239945,0.6680661737197495,1.9119906959306345,0.6003747953701912
UK,EI-TS,0.9999989981935009,1.9478089494939341,8.44227770388184,0.15169067860131996,0.8804878828024001,0.9952710574582627,0.29133081085705614,1.9478102504558268,0.5978350633433261
